# Gene Family	HSM7J4NY_Abundance-RPKs
UNMAPPED	10963114.0
UNGROUPED	2544777.642
UNGROUPED|g__Alistipes.s__Alistipes_finegoldii	41201.354
UNGROUPED|g__Alistipes.s__Alistipes_putredinis	28581.774
UNGROUPED|g__Alistipes.s__Alistipes_putredinis_CAG_67	20800.037
UNGROUPED|g__Bacteroides.s__Bacteroides_caccae	208860.53
UNGROUPED|g__Bacteroides.s__Bacteroides_stercoris	25907.494
UNGROUPED|g__Bacteroides.s__Bacteroides_uniformis	77801.86
UNGROUPED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	43441.507
UNGROUPED|g__Bacteroides.s__Bacteroides_vulgatus	71794.62
UNGROUPED|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	8027.374
UNGROUPED|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	20104.281
UNGROUPED|g__Parabacteroides.s__Parabacteroides_distasonis	148986.051
UNGROUPED|g__Parabacteroides.s__Parabacteroides_merdae	669205.781
UNGROUPED|g__Parasutterella.s__Parasutterella_excrementihominis	374727.102
UNGROUPED|unclassified	805337.877
K00009	85.242
K00009|g__Alistipes.s__Alistipes_finegoldii	85.242
K00014	16.974
K00014|unclassified	16.974
K00024	167.128
K00024|g__Alistipes.s__Alistipes_finegoldii	62.388
K00024|g__Alistipes.s__Alistipes_putredinis	16.422
K00024|g__Alistipes.s__Alistipes_putredinis_CAG_67	29.406
K00024|g__Bacteroides.s__Bacteroides_stercoris	3.547
K00024|g__Bacteroides.s__Bacteroides_uniformis	1.183
K00024|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2.354
K00024|g__Bacteroides.s__Bacteroides_vulgatus	1.175
K00024|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	1.175
K00024|g__Parabacteroides.s__Parabacteroides_distasonis	47.118
K00024|g__Parabacteroides.s__Parabacteroides_merdae	2.359
K00030	25.346
K00030|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	25.346
K00031	7.579
K00031|g__Bacteroides.s__Bacteroides_vulgatus	4.73
K00031|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	2.849
K00059	30.607
K00059|g__Bacteroides.s__Bacteroides_vulgatus	18.37
K00059|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	12.237
K00074	11.893
K00074|unclassified	11.893
K00104	60.843
K00104|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	60.843
K00133	21.676
K00133|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	21.676
K00134	22.004
K00134|g__Parabacteroides.s__Parabacteroides_distasonis	22.004
K00150	17.329
K00150|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	17.329
K00172	8.547
K00172|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	8.547
K00174	71.891
K00174|g__Bacteroides.s__Bacteroides_vulgatus	22.186
K00174|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	37.371
K00174|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	12.333
K00176	21.429
K00176|g__Bacteroides.s__Bacteroides_vulgatus	7.143
K00176|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	14.286
K00194	18.622
K00194|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	18.622
K00215	36.678
K00215|unclassified	36.678
K00240	18.066
K00240|g__Bacteroides.s__Bacteroides_vulgatus	13.529
K00240|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	4.536
K00262	370.13
K00262|g__Alistipes.s__Alistipes_finegoldii	12.847
K00262|g__Bacteroides.s__Bacteroides_caccae	57.805
K00262|g__Bacteroides.s__Bacteroides_stercoris	19.279
K00262|g__Bacteroides.s__Bacteroides_uniformis	67.471
K00262|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	51.423
K00262|g__Bacteroides.s__Bacteroides_vulgatus	92.42
K00262|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	38.558
K00262|unclassified	30.328
K00330	18.819
K00330|unclassified	18.819
K00331	33.86
K00331|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	33.86
K00333	8.082
K00333|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	8.082
K00337	17.924
K00337|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	17.924
K00340	23.813
K00340|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	23.813
K00341	18.701
K00341|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	18.701
K00342	15.16
K00342|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	15.16
K00343	17.771
K00343|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	17.771
K00399	344.701
K00399|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	344.701
K00401	359.943
