# Pathway	HSM7J4NY_Abundance
UNMAPPED	2875610.0260018213
UNINTEGRATED	675985.8404593354
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	150306.0969247171
UNINTEGRATED|unclassified	116405.2272034077
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	26378.5813131040
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	24154.2140051873
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	12563.0587556207
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	11242.6398206188
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	3751.2976491623
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	2162.0881040614
PWY-1042: glycolysis IV (plant cytosol)	149.4131966505
PWY-1042: glycolysis IV (plant cytosol)|unclassified	38.9766259709
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	87.1276217932
PWY-7237: myo-, chiro- and scillo-inositol degradation	83.9845942510
PWY-7237: myo-, chiro- and scillo-inositol degradation|g__Parabacteroides.s__Parabacteroides_distasonis	16.7662426220
PWY-7219: adenosine ribonucleotides de novo biosynthesis	82.4858830588
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	23.0429867950
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	6.5665773392
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	6.4717268463
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.0624785958
PWY-5484: glycolysis II (from fructose 6-phosphate)	72.3924380814
PWY-7221: guanosine ribonucleotides de novo biosynthesis	71.8183239781
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	30.6095898082
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	5.0137276615
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	3.6707162538
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	1.5638258561
PWY66-399: gluconeogenesis III	69.5101738080
PWY-7199: pyrimidine deoxyribonucleosides salvage	64.0791413209
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	25.7118002323
HISDEG-PWY: L-histidine degradation I	63.5265556779
HISDEG-PWY: L-histidine degradation I|unclassified	36.2491105451
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	58.7250482446
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	53.6805760942
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	47.7253758748
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	5.7172651680
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	5.0960005363
PWY-3841: folate transformations II	43.0946854466
PWY66-400: glycolysis VI (metazoan)	41.4002366116
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	39.9933844232
PWY-5030: L-histidine degradation III	38.6750758022
PWY-5030: L-histidine degradation III|unclassified	18.0365746025
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	38.4075196751
P164-PWY: purine nucleobases degradation I (anaerobic)	35.3967519691
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	35.3967519691
VALSYN-PWY: L-valine biosynthesis	31.9086173112
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	31.0788047923
PWY-7208: superpathway of pyrimidine nucleobases salvage	31.0240948952
PWY-5973: cis-vaccenate biosynthesis	30.9261578533
PWY-2942: L-lysine biosynthesis III	30.4199287828
PWY-6737: starch degradation V	29.7949574366
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	29.3510045656
PWY-6124: inosine-5'-phosphate biosynthesis II	28.7177043085
PWY-6123: inosine-5'-phosphate biosynthesis I	27.4869381242
PWY-7663: gondoate biosynthesis (anaerobic)	26.2333838911
PWY-6608: guanosine nucleotides degradation III	25.5896446980
PWY-6609: adenine and adenosine salvage III	25.3937786485
PWY-6609: adenine and adenosine salvage III|unclassified	24.1756645583
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	24.9917671907
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	24.9917671907
PWY-5686: UMP biosynthesis	23.3668283984
PWY-5667: CDP-diacylglycerol biosynthesis I	22.8080738520
PWY0-1319: CDP-diacylglycerol biosynthesis II	22.8080738520
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	22.3426088395
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	19.7625568046
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	19.2588440102
PWY-7111: pyruvate fermentation to isobutanol (engineered)	19.0001520536
PWY-5676: acetyl-CoA fermentation to butanoate II	18.6947974676
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	18.6947974676
PWY-5177: glutaryl-CoA degradation	16.2753421392
PWY-5177: glutaryl-CoA degradation|unclassified	16.2753421392
PWY-7234: inosine-5'-phosphate biosynthesis III	14.8043017469
