name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUrl,sourceRepo,workspace_key,name_key,methodPath
gdc_file_downloader__biospecimen_supplement__bcr_xml__cfg,broadinstitute_cga,participant,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__biospecimen_supplement__bcr_xml__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__clinical_supplement__bcr_xml__cfg,broadinstitute_cga,participant,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__clinical_supplement__bcr_xml__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__GeneArray__DNAcopy__copy_number_segment__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__GeneArray__DNAcopy__copy_number_segment__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__GeneArray__DNAcopy__masked_copy_number_segment__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__GeneArray__DNAcopy__masked_copy_number_segment__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__MethArray__Lift__methylation_beta_value__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__MethArray__Lift__methylation_beta_value__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__miRNAseq__BCGSCmiRNA__isoform_expression_quantification__tsv__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__miRNAseq__BCGSCmiRNA__isoform_expression_quantification__tsv__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__miRNAseq__BCGSCmiRNA__isoform_expression_quantification__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__miRNAseq__BCGSCmiRNA__isoform_expression_quantification__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__miRNAseq__BCGSCmiRNA__mirna_expression_quantification__tsv__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__miRNAseq__BCGSCmiRNA__mirna_expression_quantification__tsv__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__miRNAseq__BCGSCmiRNA__mirna_expression_quantification__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__miRNAseq__BCGSCmiRNA__mirna_expression_quantification__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__RNAseq__HTSeqCounts__gene_expression_quantification__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__RNAseq__HTSeqCounts__gene_expression_quantification__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__RNAseq__HTSEQFPKMUQ__gene_expression_quantification__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__RNAseq__HTSEQFPKMUQ__gene_expression_quantification__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__RNAseq__HTSeqFPKM__gene_expression_quantification__txt__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__RNAseq__HTSeqFPKM__gene_expression_quantification__txt__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__WXS__MuSEAggrMask__masked_somatic_mutation__maf__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__WXS__MuSEAggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__WXS__MuTect2AggrMask__masked_somatic_mutation__maf__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__WXS__MuTect2AggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__WXS__SomSnipAggrMask__masked_somatic_mutation__maf__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__WXS__SomSnipAggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
gdc_file_downloader__WXS__VarScan2AggrMask__masked_somatic_mutation__maf__cfg,broadinstitute_cga,sample,gdc_file_downloader,2,broadinstitute_cga,agora://broadinstitute_cga/gdc_file_downloader/2,agora,broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,gdc_file_downloader__WXS__VarScan2AggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga:TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA,NA
aggregate_seg,broadgdac,pair_set,aggregate_data,7,broadgdac,agora://broadgdac/aggregate_data/7,agora,getz-lab-publications:REBC_methods_only,aggregate_seg:getz-lab-publications:REBC_methods_only,NA
aggregate_seg_acs,broadgdac,pair_set,aggregate_data,7,broadgdac,agora://broadgdac/aggregate_data/7,agora,getz-lab-publications:REBC_methods_only,aggregate_seg_acs:getz-lab-publications:REBC_methods_only,NA
CopyNumber_Gistic2_hg19,broadgdac,sample_set,copy_number_gistic2,23,broadgdac,agora://broadgdac/copy_number_gistic2/23,agora,getz-lab-publications:REBC_methods_only,CopyNumber_Gistic2_hg19:getz-lab-publications:REBC_methods_only,NA
CopyNumber_Gistic2_hg19_GATK414,broadgdac,pair_set,copy_number_gistic2,24,broadgdac,agora://broadgdac/copy_number_gistic2/24,agora,getz-lab-publications:REBC_methods_only,CopyNumber_Gistic2_hg19_GATK414:getz-lab-publications:REBC_methods_only,NA
detin_v1.8,broadinstitute_cga,pair,detin_v1.0,10,broadinstitute_cga,agora://broadinstitute_cga/detin_v1.0/10,agora,getz-lab-publications:REBC_methods_only,detin_v1.8:getz-lab-publications:REBC_methods_only,NA
dRanger_pipette_WGS,Broad_CGA_GP_WGS,pair,dRanger_pipette_WGS,1,Broad_CGA_GP_WGS,agora://Broad_CGA_GP_WGS/dRanger_pipette_WGS/1,agora,getz-lab-publications:REBC_methods_only,dRanger_pipette_WGS:getz-lab-publications:REBC_methods_only,NA
SV_cluster_forBP_emptySVFiles,cchu,pair,SV_cluster_forBP_emptySVFiles,27,cchu,agora://cchu/SV_cluster_forBP_emptySVFiles/27,agora,getz-lab-publications:REBC_methods_only,SV_cluster_forBP_emptySVFiles:getz-lab-publications:REBC_methods_only,NA
absolute,dlivitz,pair,absolute,10,dlivitz,agora://dlivitz/absolute/10,agora,getz-lab-publications:REBC_methods_only,absolute:getz-lab-publications:REBC_methods_only,NA
absolute_extract,dlivitz,pair,absolute_extract,13,dlivitz,agora://dlivitz/absolute_extract/13,agora,getz-lab-publications:REBC_methods_only,absolute_extract:getz-lab-publications:REBC_methods_only,NA
freebayes,erictdawson,sample,freebayes,1,erictdawson,agora://erictdawson/freebayes/1,agora,getz-lab-publications:REBC_methods_only,freebayes:getz-lab-publications:REBC_methods_only,NA
strelka2,erictdawson,pair,strelka,2,erictdawson,agora://erictdawson/strelka/2,agora,getz-lab-publications:REBC_methods_only,strelka2:getz-lab-publications:REBC_methods_only,NA
SvABA_blacklist,erictdawson,pair,SvABA_blacklist,3,erictdawson,agora://erictdawson/SvABA_blacklist/3,agora,getz-lab-publications:REBC_methods_only,SvABA_blacklist:getz-lab-publications:REBC_methods_only,NA
telomerecat,erictdawson,sample,telomerecat,3,erictdawson,agora://erictdawson/telomerecat/3,agora,getz-lab-publications:REBC_methods_only,telomerecat:getz-lab-publications:REBC_methods_only,NA
telseq,erictdawson,sample,telseq,3,erictdawson,agora://erictdawson/telseq/3,agora,getz-lab-publications:REBC_methods_only,telseq:getz-lab-publications:REBC_methods_only,NA
allelic_Capseg_WGS,esalinas,pair,allelic_Capseg_WGS,3,esalinas,agora://esalinas/allelic_Capseg_WGS/3,agora,getz-lab-publications:REBC_methods_only,allelic_Capseg_WGS:getz-lab-publications:REBC_methods_only,NA
ReCapSeg_WGS_with_GC_Corrected_Coverage,esalinas,pair,ReCapSeg_WGS_with_GC_Corrected_Coverage,5,esalinas,agora://esalinas/ReCapSeg_WGS_with_GC_Corrected_Coverage/5,agora,getz-lab-publications:REBC_methods_only,ReCapSeg_WGS_with_GC_Corrected_Coverage:getz-lab-publications:REBC_methods_only,NA
token_pon_size_update,esalinas,pair_set,token_pon_size_update,10,esalinas,agora://esalinas/token_pon_size_update/10,agora,getz-lab-publications:REBC_methods_only,token_pon_size_update:getz-lab-publications:REBC_methods_only,NA
CNV_Somatic_Pair_Workflow,gatk,pair,CNV_Somatic_Pair_Workflow,7,gatk,agora://gatk/CNV_Somatic_Pair_Workflow/7,agora,getz-lab-publications:REBC_methods_only,CNV_Somatic_Pair_Workflow:getz-lab-publications:REBC_methods_only,NA
