"namespace","name","table","count","colnames"
"anvil-datastorage","1000G-high-coverage-2019","participant",3202,"participant_id, CENTER_NAME, EXPERIMENT_ID, gVCF, gVCF_TBI, INSERT_SIZE, INSTRUMENT_MODEL, INSTRUMENT_PLATFORM, LIBRARY_LAYOUT, LIBRARY_NAME, MD5SUM, participant, POPULATION, RUN_ID, RUN_NAME, SAMPLE_NAME, STUDY_ID, STUDY_NAME, SUBMISSION_DATE, SUBMISSION_ID"
"anvil-datastorage","1000G-high-coverage-2019","qc_result_sample",3184,"qc_result_sample_id, cram, freemix, mean_coverage, median_absolute_deviation, median_insert_size, pct_10x, pct_20x, pct_30x, pct_chimeras, percent_duplication, q20_bases, qc_result_sample, qc_status, read1_pf_mismatch_rate, read2_pf_mismatch_rate"
"anvil-datastorage","1000G-high-coverage-2019","sample_set",2,"sample_set_id, downsampled_GDS, downsampled_VCF, samples"
"anvil-datastorage","1000G-high-coverage-2019","pedigree",3202,"pedigree_id, FamilyID, FatherID, MotherID, Population, Sex, Superpopulation"
"anvil-datastorage","1000G-high-coverage-2019","sample",3202,"sample_id, cram, gVCF, gVCF_index, gVCF_TBI, insert_size, instrument_model, library_construction_protocol, library_layout, library_name, library_selection, library_source, library_strategy, participant, sample_alias"
"fc-product-demo","2019_ASHG_Reproducible_GWAS","sample",2504,"sample_id, age, ancestry, bmi, fg, fi, hdl, height, ldl, population, sex, tc, tg, whr"
"fc-product-demo","2019_ASHG_Reproducible_GWAS","sample_set",1,"sample_set_id, covariates, outcome_name, phenotypes, sample_id_column, samples"
"amp-t2d-op","2019_ASHG_Reproducible_GWAS-V2","sample",2504,"sample_id, age, ancestry, bmi, fg, fi, hdl, height, ldl, population, sex, tc, tg, whr"
"amp-t2d-op","2019_ASHG_Reproducible_GWAS-V2","sample_set",1,"sample_set_id, all_gwas_results, covariates, gwas_plots, null_model, outcome_name, phenotypes, raw_gwas_agg_variants_results, raw_gwas_results, sample_id_column, samples, top_gwas_results"
"ASHG2021","2021-ASHG-Galaxy-SV-Discovery","participant",47,"participant_id, Sex, Subpopulation, Superpopulation"
"ASHG2021","2021-ASHG-Galaxy-SV-Discovery","sample",3,"sample_id, url"
"broad-firecloud-dsde-methods","2023_Cambridge_Workshop - GATK4-Germline-Preprocessing-VariantCalling-JointCalling","participant",51,"participant_id"
"broad-firecloud-dsde-methods","2023_Cambridge_Workshop - GATK4-Germline-Preprocessing-VariantCalling-JointCalling","example_sample_set_output",1,"example_sample_set_output_id, downsampled_hg38_output_vcf, downsampled_hg38_output_vcf_indices, downsampled_hg38_sample_map, samples"
"broad-firecloud-dsde-methods","2023_Cambridge_Workshop - GATK4-Germline-Preprocessing-VariantCalling-JointCalling","sample_set",1,"sample_set_id, samples"
"broad-firecloud-dsde-methods","2023_Cambridge_Workshop - GATK4-Germline-Preprocessing-VariantCalling-JointCalling","example_sample_output",51,"example_sample_output_id, downsampled_flowcell_unmapped_bams_list, downsampled_hg38_bam, downsampled_hg38_bam_index, downsampled_hg38_gvcf, downsampled_hg38_gvcf_index, flowcell_unmapped_bams_list, insert_size, instrument_model, library_construction_protocol, library_layout, library_name, library_selection, library_source, library_strategy, output_downsampled_ubams, participant, sample_alias"
"broad-firecloud-dsde-methods","2023_Cambridge_Workshop - GATK4-Germline-Preprocessing-VariantCalling-JointCalling","sample",51,"sample_id, downsampled_flowcell_unmapped_bams_list, downsampled_hg38_bam, downsampled_hg38_bam_index, downsampled_hg38_gvcf, downsampled_hg38_gvcf_index, flowcell_unmapped_bams_list, insert_size, instrument_model, library_construction_protocol, library_layout, library_name, library_selection, library_source, library_strategy, output_downsampled_ubams, participant, sample_alias"
"anvil-datastorage","ANVIL_NIA_CARD_Coriell_Cell_Lines_Open","sample",3,"sample_id, dbgap_sample_id, sample_provider, sample_source, subject_id"
"anvil-datastorage","ANVIL_NIA_CARD_Coriell_Cell_Lines_Open","sequencing",6,"sequencing_id, alignment_method, analyte_type, capture_region_bed_file, data_processing_pipeline, date_data_generation, exome_capture_platform, functional_equivalence_standard, library_prep_kit_method, number_of_independent_libraries, read_length, reference_genome_build, sample_id, seq_filename, sequencer_id, sequencing_assay, sequencing_platform, sequencing_strategy, sex, submitter_id, target_depth, target_insert_size, tissue_source"
"anvil-datastorage","ANVIL_NIA_CARD_Coriell_Cell_Lines_Open","subject",3,"subject_id, affected_status, affected_status_detail, age_at_dna_collection, age_baseline, age_of_onset, age_unspecified, dbgap_study_id, dbgap_subject_id, disease_description, race_ethnicity, race_ethnicity_detail, sequencing_center, sex, study_nickname"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_files",102,"anvil_files_id, pfb:activities, pfb:biosamples, pfb:crc32, pfb:data_modality, pfb:datarepo_row_id, pfb:datasets, pfb:diagnoses, pfb:document_id, pfb:donors, pfb:drs_uri, pfb:file_format, pfb:file_id, pfb:file_md5sum, pfb:file_name, pfb:file_size, pfb:files_name, pfb:is_supplementary, pfb:reference_assembly, pfb:sha256, pfb:size, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id, pfb:uuid, pfb:version"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_diagnoses",49,"anvil_diagnoses_id, pfb:datarepo_row_id, pfb:diagnosis_age_unit, pfb:diagnosis_id, pfb:disease, pfb:document_id, pfb:onset_age_unit, pfb:phenopacket, pfb:phenotype, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id"
